"","long","lat","tract","plot","biomass","biomass.fin","bio.ton","long.1","lat.1","tract.1","plot.1","biomass.1","optional"
"135",120.00228,11.75227,180,1,1698.36668809539,3396.73337619077,3.39673337619077,120.00228,11.75227,180,1,1698.36668809539,TRUE
"136",122.0023,11.75226,181,1,11098.2768077742,22196.5536155484,22.1965536155484,122.0023,11.75226,181,1,11098.2768077742,TRUE
"137",125.25232,11.75223,183,1,13209.5548263761,26419.1096527523,26.4191096527523,125.25232,11.75223,183,1,13209.5548263761,TRUE
"138",122.2523,11.50226,184,1,25686.7201698759,51373.4403397518,51.3734403397518,122.2523,11.50226,184,1,25686.7201698759,TRUE
"139",122.5023,11.50225,185,1,4435.87543473976,8871.75086947953,8.87175086947953,122.5023,11.50225,185,1,4435.87543473976,TRUE
"140",122.7523,11.50225,186,1,4377.81076744978,8755.62153489956,8.75562153489956,122.7523,11.50225,186,1,4377.81076744978,TRUE
"141",124.50231,11.50224,187,1,2452.35418475788,4904.70836951576,4.90470836951576,124.50231,11.50224,187,1,2452.35418475788,TRUE
"142",125.25231,11.50223,189,1,27543.6691177702,55087.3382355405,55.0873382355405,125.25231,11.50223,189,1,27543.6691177702,TRUE
"143",119.50227,11.25228,191,1,41241.7244809538,82483.4489619076,82.4834489619076,119.50227,11.25228,191,1,41241.7244809538,TRUE
"144",122.5023,11.25225,193,1,4453.24402344129,8906.48804688258,8.90648804688258,122.5023,11.25225,193,1,4453.24402344129,TRUE
"145",122.7523,11.25225,194,1,1041.04042899847,2082.08085799695,2.08208085799695,122.7523,11.25225,194,1,1041.04042899847,TRUE
"146",123.0023,11.25225,195,1,2785.55877779674,5571.11755559349,5.57111755559349,123.0023,11.25225,195,1,2785.55877779674,TRUE
"147",123.75231,11.25224,196,1,2776.08167755174,5552.16335510347,5.55216335510347,123.75231,11.25224,196,1,2776.08167755174,TRUE
"148",124.0023,11.25224,197,1,2727.52435417158,5455.04870834316,5.45504870834316,124.0023,11.25224,197,1,2727.52435417158,TRUE
"149",124.50231,11.25224,198,1,310.777478030635,621.55495606127,0.62155495606127,124.50231,11.25224,198,1,310.777478030635,TRUE
"150",125.25231,11.25223,200,1,63163.9069124766,126327.813824953,126.327813824953,125.25231,11.25223,200,1,63163.9069124766,TRUE
"151",125.50231,11.25223,201,1,12358.6913695123,24717.3827390245,24.7173827390245,125.50231,11.25223,201,1,12358.6913695123,TRUE
"152",122.50229,11.00225,203,1,2915.17434054555,5830.34868109109,5.83034868109109,122.50229,11.00225,203,1,2915.17434054555,TRUE
"153",124.5023,11.00224,206,1,1878.98577690603,3757.97155381206,3.75797155381206,124.5023,11.00224,206,1,1878.98577690603,TRUE
"154",124.75231,11.00223,207,1,43550.2797331496,87100.5594662992,87.1005594662992,124.75231,11.00223,207,1,43550.2797331496,TRUE
"155",119.50227,10.75228,209,1,28190.0367440724,56380.0734881447,56.3800734881447,119.50227,10.75228,209,1,28190.0367440724,TRUE
"156",122.25229,10.75226,211,1,5581.2952284319,11162.5904568638,11.1625904568638,122.25229,10.75226,211,1,5581.2952284319,TRUE
"157",122.50229,10.75225,212,1,1292.8817784577,2585.7635569154,2.5857635569154,122.50229,10.75225,212,1,1292.8817784577,TRUE
"158",123.25229,10.75225,214,1,34670.4256530757,69340.8513061514,69.3408513061514,123.25229,10.75225,214,1,34670.4256530757,TRUE
"159",123.5023,10.75225,215,1,161.346523287511,322.693046575022,0.322693046575022,123.5023,10.75225,215,1,161.346523287511,TRUE
"160",124.0023,10.75224,216,1,2067.22072155888,4134.44144311775,4.13444144311775,124.0023,10.75224,216,1,2067.22072155888,TRUE
"161",125.00231,10.75223,218,1,1125.02060248582,2250.04120497164,2.25004120497164,125.00231,10.75223,218,1,1125.02060248582,TRUE
"162",119.50226,10.50227,219,1,1527.92334955081,3055.84669910163,3.05584669910163,119.50226,10.50227,219,1,1527.92334955081,TRUE
"163",122.00229,10.50226,220,1,7123.14897224275,14246.2979444855,14.2462979444855,122.00229,10.50226,220,1,7123.14897224275,TRUE
"164",122.50229,10.50225,221,1,4528.21598975018,9056.43197950035,9.05643197950035,122.50229,10.50225,221,1,4528.21598975018,TRUE
